code_edi;tableau_nom;libelle_ligne;label_col1;label_col2;label_col3
13429;Table 1;(code = 13343) (Type =Texte);Valeur 1;Valeur 2;Valeur 3
13389;Table 1;Provisions durables pour risques et charges (D);Valeur 1;Valeur 2;Valeur 3
13430;Table 1;Provisions durables pour risques et charges (D);Valeur 1;Valeur 2;Valeur 3
13390;Table 1;Provisions pour risques;Valeur 1;Valeur 2;Valeur 3
13431;Table 1;Provisions pour risques;Valeur 1;Valeur 2;Valeur 3
13391;Table 1;Provisions pour charges;Valeur 1;Valeur 2;Valeur 3
13432;Table 1;Provisions pour charges;Valeur 1;Valeur 2;Valeur 3
13386;Table 1;Ecarts de conversion-passif (E);Valeur 1;Valeur 2;Valeur 3
13433;Table 1;Ecarts de conversion-passif (E);Valeur 1;Valeur 2;Valeur 3
13387;Table 1;Augmentation des créances immobilisées;Valeur 1;Valeur 2;Valeur 3
13434;Table 1;Augmentation des créances immobilisées;Valeur 1;Valeur 2;Valeur 3
13388;Table 1;Diminution des dettes de financement;Valeur 1;Valeur 2;Valeur 3
13435;Table 1;Diminution des dettes de financement;Valeur 1;Valeur 2;Valeur 3
13385;Table 1;TOTAL I (A+B+C+D+E);Valeur 1;Valeur 2;Valeur 3
13436;Table 1;TOTAL I (A+B+C+D+E);Valeur 1;Valeur 2;Valeur 3
13376;Table 1;Dettes du passif circulant (F);Valeur 1;Valeur 2;Valeur 3
13437;Table 1;Dettes du passif circulant (F);Valeur 1;Valeur 2;Valeur 3
13377;Table 1;Fournisseurs et comptes rattachés;Valeur 1;Valeur 2;Valeur 3
13438;Table 1;Fournisseurs et comptes rattachés;Valeur 1;Valeur 2;Valeur 3
13378;Table 1;Clients créditeurs, avances et acomptes;Valeur 1;Valeur 2;Valeur 3
13439;Table 1;Clients créditeurs, avances et acomptes;Valeur 1;Valeur 2;Valeur 3
13379;Table 1;Personnel;Valeur 1;Valeur 2;Valeur 3
13440;Table 1;Personnel;Valeur 1;Valeur 2;Valeur 3
13380;Table 1;Organismes sociaux;Valeur 1;Valeur 2;Valeur 3
13441;Table 1;Organismes sociaux;Valeur 1;Valeur 2;Valeur 3
13381;Table 1;Etat;Valeur 1;Valeur 2;Valeur 3
13442;Table 1;Etat;Valeur 1;Valeur 2;Valeur 3
13382;Table 1;Comptes d'associés;Valeur 1;Valeur 2;Valeur 3
13443;Table 1;Comptes d'associés;Valeur 1;Valeur 2;Valeur 3
13383;Table 1;Autres créanciers;Valeur 1;Valeur 2;Valeur 3
13444;Table 1;Autres créanciers;Valeur 1;Valeur 2;Valeur 3
13384;Table 1;Comptes de régularisation passif;Valeur 1;Valeur 2;Valeur 3
13445;Table 1;Comptes de régularisation passif;Valeur 1;Valeur 2;Valeur 3
13375;Table 1;Autres provisions pour risques et charges (G);Valeur 1;Valeur 2;Valeur 3
13446;Table 1;Autres provisions pour risques et charges (G);Valeur 1;Valeur 2;Valeur 3
13374;Table 1;Ecarts de conversion - passif (Eléments circulants) (H);Valeur 1;Valeur 2;Valeur 3
13447;Table 1;Ecarts de conversion - passif (Eléments circulants) (H);Valeur 1;Valeur 2;Valeur 3
13373;Table 1;TOTAL II (F+G+H);Valeur 1;Valeur 2;Valeur 3
13448;Table 1;TOTAL II (F+G+H);Valeur 1;Valeur 2;Valeur 3
13370;Table 1;Crédits d'escompte;Valeur 1;Valeur 2;Valeur 3
13449;Table 1;Crédits d'escompte;Valeur 1;Valeur 2;Valeur 3
